row ID,row m/z,row retention time,S01_B14_H2O_POS.mzML area,S02_B14_H2O_POS.mzML area,S03_D14_H2O_POS.mzML area,S04_D14_H2O_POS.mzML area,S20_B28_H2O_POS.mzML area,S21_B28_H2O_POS.mzML area,S22_B28_H2O_POS.mzML area,S23_D28_H2O_POS.mzML area,S24_D28_H2O_POS.mzML area,S25_D28_H2O_POS.mzML area,S07_B14_JN2_POS.mzML area,S08_B14_JN2_POS.mzML area,S09_B14_JN2_POS.mzML area,S10_D14_JN2_POS.mzML area,S11_D14_JN2_POS.mzML area,S12_D14_JN2_POS.mzML area,S26_B28_JN2_POS.mzML area,S27_B28_JN2_POS.mzML area,S28_B28_JN2_POS.mzML area,S29_D28_JN2_POS.mzML area,S30_D28_JN2_POS.mzML area,S31_D28_JN2_POS.mzML area,S05_Dn14_H2O_POS.mzML area,S06_Dn14_H2O_POS.mzML area,PM04_POS.mzML area,PM05_POS.mzML area,,,,,,,,,,,,,,,,,,,,,,,,,,
1,303.883,0.02,850000,1800000,1600000,1200000,2100000,660000,980000,1400000,3000000,990000,1500000,1400000,1100000,1300000,2800000,2300000,1200000,1700000,910000,480000,680000,2400000,720000,1400000,,3200000,,,,,,,,,,,,,,,,,,,,,,,,,,
2,186.956,0.02,,11000000,9800000,16000000,,,,,12000000,,15000000,16000000,,8300000,15000000,,13000000,11000000,,,,9700000,,15000000,,9800000,,,,,,,,,,,,,,,,,,,,,,,,,,
3,158.962,0.02,,39000000,39000000,,,,,,42000000,,57000000,61000000,,40000000,57000000,51000000,51000000,61000000,,,,,,56000000,,43000000,,,,,,,,,,,,,,,,,,,,,,,,,,
4,275.889,0.02,350000,890000,540000,720000,810000,,610000,250000,1500000,540000,650000,820000,340000,960000,1100000,890000,500000,720000,330000,,230000,1200000,220000,670000,,1100000,,,,,,,,,,,,,,,,,,,,,,,,,,
5,156.966,0.02,,2400000,1900000,,,,3300000,,3100000,,3700000,3900000,,1400000,3600000,3200000,2500000,2500000,,,,2100000,,3600000,,3300000,,,,,,,,,,,,,,,,,,,,,,,,,,
6,130.967,0.02,,3600000,6900000,7600000,3300000,,6800000,5300000,3900000,8700000,8800000,9100000,,6100000,8400000,7700000,7700000,7600000,,,9300000,5500000,8600000,8500000,,8300000,,,,,,,,,,,,,,,,,,,,,,,,,,
7,117.935,0.03,,,,,250000,,,,,1000000,,520000,,380000,590000,440000,310000,620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,135.946,0.03,2000000,1100000,1000000,1200000,1300000,1900000,1800000,1800000,1100000,1800000,1000000,1200000,1200000,1300000,780000,1500000,1300000,1500000,2100000,,2300000,840000,,630000,,820000,,,,,,,,,,,,,,,,,,,,,,,,,,
10,96.961,0.05,,,,,,,950000,,,,,,,,,920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,172.977,0.06,,1400000,2000000,,,,1800000,,1700000,,1700000,2300000,,,2100000,,1800000,2300000,,,2500000,1700000,2300000,,,1900000,,,,,,,,,,,,,,,,,,,,,,,,,,
12,100.511,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,495.836,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,153.956,0.1,800000,390000,270000,300000,630000,,530000,440000,360000,,620000,,,460000,510000,590000,280000,500000,,,,360000,910000,430000,620000,410000,,,,,,,,,,,,,,,,,,,,,,,,,,
17,467.802,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,163.94,0.12,,,210000,240000,260000,,,400000,,,,350000,410000,420000,540000,,,360000,880000,370000,920000,,480000,,440000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,97.515,0.13,,380000,,,,,,,,,,,,,,,,,,310000,,,,,230000,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,138.986,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,282.911,0.21,620000,,460000,,690000,,730000,,420000,,720000,600000,,690000,520000,670000,530000,440000,,470000,,610000,570000,720000,,650000,,,,,,,,,,,,,,,,,,,,,,,,,,
28,139.964,0.19,330000,,420000,440000,,520000,520000,,590000,,,,570000,620000,,,600000,,,510000,590000,,590000,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,140.996,0.59,1200000,,230000,400000,1000000,1400000,,260000,1100000,240000,490000,1100000,250000,1000000,1100000,,,290000,1300000,1400000,1500000,980000,1300000,710000,,460000,,,,,,,,,,,,,,,,,,,,,,,,,,
30,98.014,0.19,580000,800000,850000,550000,960000,640000,780000,710000,900000,440000,830000,910000,,770000,,,500000,1000000,750000,650000,680000,840000,540000,560000,1700000,810000,,,,,,,,,,,,,,,,,,,,,,,,,,
31,98.513,0.2,8000000,8800000,8900000,8300000,8100000,8700000,8800000,8300000,8800000,8400000,8900000,8100000,8200000,8400000,8700000,8800000,8900000,8200000,8100000,8700000,8200000,8700000,8500000,8600000,10000000,9000000,,,,,,,,,,,,,,,,,,,,,,,,,,
32,180.99,0.2,620000,900000,940000,880000,830000,750000,910000,780000,670000,900000,900000,790000,920000,720000,910000,900000,920000,880000,780000,870000,910000,860000,880000,900000,510000,880000,,,,,,,,,,,,,,,,,,,,,,,,,,
33,186.981,0.21,3900000,,,,3000000,,,,3200000,4100000,,,,3000000,,,,,,,,2900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,113.964,0.21,7500000,8000000,7800000,7400000,7800000,7600000,8400000,7500000,8100000,7800000,7900000,7200000,7700000,7900000,7800000,7700000,8000000,7600000,7800000,8100000,8200000,7900000,7800000,7800000,8600000,8200000,,,,,,,,,,,,,,,,,,,,,,,,,,
35,99.014,0.21,,250000,,400000,,,,,,,,,510000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,89.507,0.21,2200000,2800000,2400000,2200000,2400000,,2400000,2400000,2600000,2400000,2600000,2200000,,2500000,2500000,2300000,2700000,2300000,2300000,2300000,,2600000,2300000,2500000,2400000,2600000,,,,,,,,,,,,,,,,,,,,,,,,,,
37,182.985,0.2,14000000,14000000,14000000,14000000,14000000,13000000,15000000,14000000,14000000,15000000,14000000,13000000,15000000,15000000,14000000,14000000,14000000,14000000,15000000,14000000,15000000,14000000,15000000,14000000,13000000,15000000,,,,,,,,,,,,,,,,,,,,,,,,,,
39,131.974,0.22,1700000,1900000,1700000,1600000,1800000,990000,1800000,1700000,1900000,1700000,1700000,1600000,1700000,1500000,1700000,1700000,1800000,1700000,1800000,1300000,1800000,1800000,1500000,1700000,1000000,1900000,,,,,,,,,,,,,,,,,,,,,,,,,,
40,154.99,0.22,4900000,5000000,4900000,4600000,,,5000000,,5200000,,5000000,4600000,4800000,5100000,5000000,5000000,5200000,,4600000,4200000,,5100000,,,,4500000,,,,,,,,,,,,,,,,,,,,,,,,,,
41,183.989,0.22,,780000,,,,730000,610000,,,760000,,,810000,,,740000,780000,,,,,580000,790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,141.959,0.23,9200000,9500000,9400000,9200000,8900000,8500000,10000000,9200000,9600000,9100000,9300000,8300000,9700000,9900000,9400000,9500000,10000000,9800000,9500000,9300000,9900000,9000000,9000000,9100000,13000000,9400000,,,,,,,,,,,,,,,,,,,,,,,,,,
44,184.986,0.26,1900000,,8200000,,,,8700000,,8100000,10000000,9000000,9400000,9900000,,9300000,8000000,7600000,10000000,11000000,,,7600000,10000000,8800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,167.977,0.29,,,,,2100000,,,,,,2100000,,,2100000,,,2200000,,,,,2100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,161.97,0.32,,1300000,,1500000,1400000,,1400000,,1500000,,1400000,1500000,1600000,1300000,1500000,,1300000,1600000,1800000,,,1300000,,1400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,141.979,0.48,,,,,,,,,,,,,,,,,1200000,,,,,1200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,235.639,0.59,,,,,280000,81000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,145.607,0.59,600000,,,1300000,910000,620000,,,,,910000,,340000,850000,220000,240000,,,140000,,,,,740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,226.634,0.59,,,,,410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,129.139,0.61,2400000,3300000,1800000,1300000,230000,300000,,,,,1000000,1100000,640000,2000000,760000,260000,,,260000,160000,,,2000000,3400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,308.217,0.61,1200000,2500000,1500000,2700000,2300000,,,,,,430000,1700000,340000,960000,,,,,,,,,,1900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,112.113,0.61,850000,,650000,,,,,,,,220000,460000,190000,,200000,100000,,,,,,,,1200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,190.98,0.61,,,,,,,,,,,,,,,,,,,,,,,,,160000,81000,,,,,,,,,,,,,,,,,,,,,,,,,,
65,304.969,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,235.952,0.62,,,,,,,,,,,,,,,,,,140000,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,246.944,0.62,,,,,,,,,,,,,,,,,,,,,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,147.163,0.62,,500000,260000,,,,,,,,,89000,,,,,,,,,,,,450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,131.155,0.62,,,,,,150000,,,,,,,,,,,210000,230000,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,130.024,0.62,630000,,,,,,,,,,,,,,,,,,,,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,151.019,0.62,,,,,,,,,,,,,,370000,,,,140000,,210000,,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,111.039,0.66,14000000,14000000,7500000,5100000,4800000,2900000,,,280000,,3200000,4900000,3000000,3200000,3400000,2000000,550000,550000,1300000,720000,,410000,15000000,5800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,200.973,0.62,3300000,1800000,3300000,3000000,2500000,2500000,,1900000,2000000,2000000,3000000,1300000,2400000,3000000,2500000,2200000,2200000,440000,790000,2300000,,1900000,1700000,3800000,,1700000,,,,,,,,,,,,,,,,,,,,,,,,,,
